Date,Workout,Weight(lbs),Reps,Weight(lbs),Reps,Weight(lbs),Reps,Weight(lbs),Reps,Weight(lbs),Reps,Weight(lbs),Reps,Notes
1/17/24,Bicep Curls,17.5,20,20,20,,,,,,,,,
1/17/24,Decline Chest Press,65,20,75,20,,,,,,,,,
1/17/24,Sitting Overhead Shoulder Press,45,11,45,8,,,,,,,,,
,,,,,,,,,,,,,,
1/22/24,Incline Bench Press,65,20,65,20,,,,,,,,,"Felt triceps more than chest, possible even shoulders"
1/22/24,Standing Overhead Shoulder Press,35,10,35,15,,,,,,,,,
1/22/24,Triceps Press Mchn,85 / 100,10 / 10,100,20,,,,,,,,,
,,,,,,,,,,,,,,
1/24/24,Barbell Squats,95,20,115,20,,,,,,,,,
1/24/24,Leg Curl Mchn,70,20,77.5,20,,,,,,,,,
1/24/24,Glute Extentions,25,20,30,20,,,,,,,,,
,,,,,,,,,,,,,,
1/26/24,Deadlifts,135,15,135,15,,,,,,,,,
1/26/24,Bicep Curls,20,20,25,20,,,,,,,,,
1/26/24,curl Sit Ups,NA,20,NA,20,,,,,,,,,
,,,,,,,,,,,,,,
1/29/24,Decline Bench Press,65,20,75,20,,,,,,,,,
1/29/24,Sitting Overhead Shoulder Press,45,20,45,13,,,,,,,,,
1/29/24,Cable Pulldowns,130*,20,130,20,,,,,,,,,
,,,,,,,,,,,,,,
1/31/24,Row mchn,55,20,70,20,,,,,,,,,
1/31/24,Bicep Curls,22.5,20,25,20,,,,,,,,,
1/31/24,Ab Curl Mchn,55,20,70,20,,,,,,,,,
,,,,,,,,,,,,,,
2/2/24,Seated Leg Curl Mchn,77.5,20,77.5,20,,,,,,,,,
2/2/24,Seated Leg Extension Mchn,70,20,85,20,,,,,,,,,
2/2/24,Seated Calf Extention Mchn,100,20,120,20,,,,,,,,,
,,,,,,,,,,,,,,
2/5/24,Deadlifts,135,20,135,20,,,,,,,,,
2/5/24,Bicep Curls,25,20,25,10,,,,,,,,,
2/5/24,Abs Curl Mchn,70,20,70,20,,,,,,,,,
,,,,,,,,,,,,,,
2/7/24,Barbell Squats,115,15,115,10,,,,,,,,,
2/7/24,Inner Thigh Mchn,70,20,75,20,,,,,,,,,
2/7/24,Seated Calf Extension Mchn,110,20,120,20,,,,,,,,,
,,,,,,,,,,,,,,
2/12/24,Chest Press Mchn,55,20,55,20,,,,,,,,,
2/12/24,Seated Overhead Press,45,17,45,15,,,,,,,,,
2/12/24,Converging Chess Press Mchn,50,20,50,16,,,,,,,,,
,,,,,,,,,,,,,,
2/16/24,Row Mchn,70,20,77.5,20,,,,,,,,,
2/16/24,Bicep Curl Mchn,40,15,40,10,,,,,,,,,
2/16/24,Crunch-to-Sit-Up,22,,,,,,,,,,,,
,,,,,,,,,,,,,,
2/19/24,Incline Bench Press,75,15,85,15,85 / 75 / 65,5 / 5 / 5,,,,,,,
2/19/24,Seated Dips Mchn,120,15,120,15,120,15,,,,,,,
2/19/24,Seated Shoulder Press Mchn,40 / 32.5,10 / 5,32.5,15,32.5,15,,,,,,,
,,,,,,,,,,,,,,
2/21/24,Hip Abduction Mchn,77.5,15,85,15,100,15,,,,,,,
2/21/24,Leg Press,180,15,230,15,230,15,,,,,,,
2/21/24,Seated Calf Extention Mchn,110,15,120,15,130,15,,,,,,,
,,,,,,,,,,,,,,
2/26/24,dual Pulley Pulldown Mchn,35,15,42.7,15,50 / 42.7 / 35,8 / 4 / 3,,,,,,,
2/26/24,Ab Curl Mchn,70,15,77.5,15,85,15,,,,,,,
2/26/24,Bicep Curls,25,15,27.5,15,30 / 27.5,11 / 4,,,,,,,
,,,,,,,,,,,,,,
2/28/24,Seated Leg Press Mchn,130,15,135,15,140,15,,,,,,,
2/28/24,Seated Calf Extention Mchn,100,15,120,15,130,15,,,,,,,
2/28/24,Inner Thigh Mchn,80,15,85,15,100,15,,,,,,,
,,,,,,,,,,,,,,
3/6/24,Bench Press,95,10,95,10,105,10,,,,,,,
3/6/24,Lateral Raise Mchn,40,15,40,15,40,15,,,,,,,
3/6/24,Seated Dips Mchn,120,15,125,15,130,15,,,,,,,
,,,,,,,,,,,,,,
3/9/24,Barbell Squats,155,10,175,10,205,10,,,,,,,
3/9/24,Seated Calf Extention Mchn,110,15,120,15,130,,,,,,,,
,,,,,,,,,,,,,,
3/18/24,Row Mchn,70,15,77.5,15,85,15,,,,,,,
3/18/24,Cruch-to-Sit-Ups,N/A,20,N/A,15,N/A,15,,,,,,,
3/18/24,Bicep Curl Mchn,40,15,47.5,15,55,7*,,,,,,,
,,,,,,,,,,,,,,
3/25/24,Chest Press Mchn,55,15,62.5,15,70/62.5/55,10 / 1 / 4,,,,,,,
3/25/24,seated Shoulder Press,45,15,45,15,45,15,,,,,,,
3/25/24,Assist Dips,55,10,55,10,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Workout,Weight,Reps,Sets,,,,,,,,,,
4/8/24,Decline Bench Press,75,10,5,,,,,,,,,,
4/8/24,Incline Bench Press,75,10,3,,,,,,,,,,
4/8/24,chest Press Mchn,47.5,10,3,,,,,,,,,,
,,,,,,,,,,,,,,
4/9/24,Barbell Squats,135,10,4,,,,,,,,,,
4/9/24,Seated Leg Curls,77.5,10,4,,,,,,,,,,
4/9/24,Glute Extentions,25,10,4,,,,,,,,,,
,,,,,,,,,,,,,,
4/10/24,Bicep Curls,25,12,4,,,,,,,,,,
4/10/24,Cable Pulls,25,12,4,,,,,,,,,,
4/10/24,Lateral Raises,25,12,4,,,,,,,,,,
,,,,,,,,,,,,,,
4/12/24,Chest Press,55,10,2,,,,,,,,,,
4/12/24,Rows,100,10,4,,,,,,,,,,
4/12/24,Hip Abduction,145,10,3,,,,,,,,,,
4/12/24,Overhead Pulls,100,10,4,,,,,,,,,,
4/12/24,Back Extentions,250,10,3,,,,,,,,,,
,,,,,,,,,,,,,,
4/15/24,Decline Bench Press,85,10,4,,,,,,,,,,
4/15/24,Flat Bench Press,85,10,4,,,,,,,,,,
4/15/24,Iso-Lateral Bench Press,15,10,4,,,,,,,,,,
,,,,,,,,,,,,,,
4/16/24,Lat Pulls,95,10,4,,,,,,,,,,
4/16/24,Overhead Press,60,10,4,,,,,,,,,,
4/16/24,Cable Pulls,27.5,10,4,,,,,,,,,,
,,,,,,,,,,,,,,
4/17/24,Barbell Squats,155,10,4,,,,,,,,,,
4/17/24,Seated Calf Extentions,120,12,4,,,,,,,,,,
4/17/24,Prone Leg Curls,70,10,4,,,,,,,,,,
,,,,,,,,,,,,,,
4/18/24,Deadlift,135,10,4,,,,,,,,,,
4/18/24,Rows,107.5,10,4,,,,,,,,,,
4/18/24,Lateral Raise,60,10,4,,,,,,,,,,
,,,,,,,,,,,,,,
4/19/24,Treadmill,22:00,1.73,,,,,,,,,,,
,,,,,,,,,,,,,,
4/22/24,Flat Bench Press,95,10,4,,,,,,,,,,
4/22/24,Incline Bench Press,95,10,2.5,,,,,,,,,,
4/22/24,Sit-Ups,0,20,4,,,,,,,,,,
,,,,,,,,,,,,,,
4/23/24,Deadlift,155,10,4,,,,,,,,,,
4/23/24,Cable Rows,42.5,10,4,,,,,,,,,,
4/23/24,Pulldown,70,10,4,,,,,,,,,,
,,,,,,,,,,,,,,
4/24/24,Overhead Barbell Press,45,12,4,,,,,,,,,,
4/24/24,Bicep Curls,27.5,12,4,,,,,,,,,,
4/24/24,Cable Pulls,32.5,12,4,,,,,,,,,,
,,,,,,,,,,,,,,
